time,longitude,latitude,altitude_2,speed_2,time_2,music_2,conversation_2
1446062545,-86.7818885,36.1633304,157,0.6,1200,1,H: just over here or maybe right here/J: (laughing)/J: are we still on the path?/H: maybe it's back the opposite direction looks like it goes.. that's sixth and/H: was it at the hermitage hotel?/A: this next song is woke up this morning by the freedom singers/H: oh here's something!
1446062550,-86.7818968,36.1633057,157,0.8,1205,1,
1446062555,-86.7818403,36.1632481,157,1.2,1210,1,
1446062560,-86.7817927,36.1632145,157,0.3,1215,1,
1446062570,-86.7817166,36.1632496,157,1.1,1225,1,
1446062575,-86.781802,36.1633223,157,1,1230,1,
1446062580,-86.7818503,36.1633922,157,1.1,1235,1,
1446062585,-86.7818881,36.1634392,158,0.7,1240,1,
1446062590,-86.7819074,36.1634599,159,0.9,1245,1,
1446062595,-86.7819301,36.1634674,158,0.5,1250,1,
1446062600,-86.7819694,36.163499,158,1.1,1255,1,
1446062605,-86.781926,36.1635073,158,0.2,1260,1,H: it's trying to play let me turn up the/A: oh
1446062610,-86.7819261,36.1635335,157,0,1265,1,
1446062615,-86.7819261,36.1635335,157,0,1270,0,
1446062620,-86.7819261,36.1635335,157,0,1275,0,
1446062625,-86.7819182,36.1635716,157,0,1280,0,
1446062630,-86.7819026,36.163616,157,0,1285,0,
1446062635,-86.7819026,36.163616,158,0,1290,0,
1446062640,-86.7819026,36.163616,158,0,1295,0,
1446062645,-86.7819026,36.163616,158,0,1300,0,
1446062650,-86.7819026,36.163616,158,0,1305,0,
1446062655,-86.7819026,36.163616,159,0,1310,0,
1446062660,-86.7819026,36.163616,159,0,1315,0,
1446062665,-86.7819026,36.163616,159,0,1320,0,H: talkin about the sit in movement/A: * hmhm/H: I'm not sure which cross keys I'm guessing is what they're referencing/J: presumably it was in this neighborhood/H: is that is right there I think/M: us in relation to (inaudible)/H: I think so this is the wherever that sign is.. so
1446062670,-86.7819026,36.163616,158,0,1325,0,
1446062675,-86.7819026,36.163616,158,0,1330,0,
1446062680,-86.7819026,36.163616,158,0,1335,0,
