time,longitude,latitude,altitude_1,speed_1
1441137540,-86.8180323,36.1682574,134,0.2
1441137545,-86.8180323,36.1682663,134,0.3
1441137550,-86.8180194,36.1682632,135,0.6
1441137555,-86.8180227,36.1682797,134,0.5
1441137560,-86.8180877,36.1682697,135,0.4
1441137565,-86.8180939,36.1682831,135,0.2
1441137570,-86.8180521,36.1682743,135,0.3
1441137575,-86.81806,36.1682679,135,0
1441137580,-86.8180595,36.1682646,135,0
1441137585,-86.8180104,36.1682722,135,0.2
1441137590,-86.8180198,36.1682589,135,0.2
1441137595,-86.8180265,36.1682726,135,0.2
1441137600,-86.8180243,36.1682782,135,0
1441137605,-86.8180093,36.1682657,135,0.3
1441137620,-86.8179621,36.1682378,135,0.2
1441137630,-86.8179009,36.1682825,135,0.8
1441137635,-86.8182422,36.1682687,135,0.8
1441137640,-86.8181436,36.1683604,135,1
1441137645,-86.8180576,36.1683836,135,0.9
1441137650,-86.8179997,36.1683338,135,0.6
1441137655,-86.8180578,36.1682305,135,1.1
1441137660,-86.8179899,36.1681976,135,0.6
1441137665,-86.8180121,36.1681512,135,0.9
1441137670,-86.8179673,36.1681898,135,0.6
1441137675,-86.8179977,36.1681871,135,0.6
1441137685,-86.8179766,36.1681896,135,0.2
1441137690,-86.8180971,36.1681673,135,1
1441137695,-86.8181174,36.1682209,135,1
1441137700,-86.8180418,36.1682768,135,0.8
1441137705,-86.8178644,36.1683316,135,1.4
1441137710,-86.8178663,36.1683147,135,0.4
1441137715,-86.817857,36.1682751,135,1.4
1441137720,-86.8179477,36.168375,134,0
1441137725,-86.8180078,36.1683454,134,0.4
1441137730,-86.8179718,36.1682843,134,1
1441137735,-86.8179829,36.1682482,134,0.9
1441137740,-86.8180183,36.1682522,133,0
1441137745,-86.8180183,36.1682522,133,0
1441137750,-86.8180688,36.1682568,133,0.6
1441137755,-86.8180674,36.1682318,132,0.4
1441137760,-86.8180691,36.1682149,133,0.2
1441137765,-86.8180896,36.1682113,133,0.4
1441137770,-86.8181071,36.1681777,132,1
1441137775,-86.8181193,36.1681439,133,0.8
1441137780,-86.8181203,36.1681125,132,0.8
1441137785,-86.8180886,36.1680932,134,0.9
1441137790,-86.8180634,36.1680948,135,0.6
1441137795,-86.8180301,36.1680876,134,0.6
1441137800,-86.817972,36.1680963,134,0.6
1441137805,-86.8179258,36.1681053,134,0.6
1441137810,-86.8178814,36.1681086,133,0.7
1441137815,-86.8178366,36.1681246,134,0.3
1441137820,-86.817825,36.168127,134,0.2
1441137825,-86.8177734,36.1681309,135,1.1
1441137830,-86.8177258,36.1681331,135,1.2
1441137835,-86.8176693,36.1681395,136,1.1
1441137840,-86.8176078,36.1681402,136,1.2
1441137845,-86.8175562,36.1681349,136,0.9
1441137850,-86.8175088,36.1681329,136,0.7
1441137855,-86.8175006,36.1681359,135,0
1441137860,-86.8175003,36.1681353,135,0.7
1441137865,-86.8174981,36.1681379,136,0
1441137870,-86.8175023,36.1681452,136,0
1441137875,-86.8175023,36.1681452,136,0
1441137880,-86.8175023,36.1681452,136,0
1441137885,-86.8175023,36.1681452,136,0
1441137890,-86.8175023,36.1681452,135,0
1441137895,-86.8175023,36.1681452,135,0
1441137900,-86.8174941,36.1681479,135,0
1441137905,-86.817483,36.1681486,135,0.3
1441137910,-86.8174548,36.168156,136,0.6
1441137915,-86.8174125,36.1681662,136,0.9
1441137920,-86.8173603,36.1681776,136,0.9
1441137925,-86.8173057,36.168185,137,0.2
